concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,942.014,Crescente,-18.062852,-39.877372
ECO101,2020,BR-101/BA,942.014,Decrescente,-18.062852,-39.877372
ECO101,2020,BR-101/BA,942.034,Crescente,-18.063009,-39.877467
ECO101,2020,BR-101/BA,942.034,Decrescente,-18.063009,-39.877467
ECO101,2020,BR-101/BA,942.054,Crescente,-18.063165,-39.877562
ECO101,2020,BR-101/BA,942.054,Decrescente,-18.063165,-39.877562
ECO101,2020,BR-101/BA,942.074,Crescente,-18.063322,-39.877656
ECO101,2020,BR-101/BA,942.074,Decrescente,-18.063322,-39.877656
ECO101,2020,BR-101/BA,942.094,Crescente,-18.063479,-39.87775
ECO101,2020,BR-101/BA,942.094,Decrescente,-18.063479,-39.87775
ECO101,2020,BR-101/BA,942.114,Crescente,-18.063628,-39.87784
ECO101,2020,BR-101/BA,942.114,Decrescente,-18.063628,-39.87784
ECO101,2020,BR-101/BA,942.134,Crescente,-18.063792,-39.877938
ECO101,2020,BR-101/BA,942.134,Decrescente,-18.063792,-39.877938
ECO101,2020,BR-101/BA,942.154,Crescente,-18.06395,-39.878031
ECO101,2020,BR-101/BA,942.154,Decrescente,-18.06395,-39.878031
ECO101,2020,BR-101/BA,942.174,Crescente,-18.064106,-39.878127
ECO101,2020,BR-101/BA,942.174,Decrescente,-18.064106,-39.878127
ECO101,2020,BR-101/BA,942.194,Crescente,-18.064261,-39.87822
ECO101,2020,BR-101/BA,942.194,Decrescente,-18.064261,-39.87822
ECO101,2020,BR-101/BA,942.214,Crescente,-18.064419,-39.878316
ECO101,2020,BR-101/BA,942.214,Decrescente,-18.064419,-39.878316
ECO101,2020,BR-101/BA,942.234,Crescente,-18.064573,-39.878414
ECO101,2020,BR-101/BA,942.234,Decrescente,-18.064573,-39.878414
ECO101,2020,BR-101/BA,942.254,Crescente,-18.064728,-39.878511
